snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name
43763009,Glossopharyngeal neuralgia,Glossopharyngeal nerve disorders,Nervous system disorders
94638008,Tongue cancer metastatic,Lip and oral cavity neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
86487001,Pityriasis lichenoides et varioliformis acuta,Papulosquamous conditions,Skin and subcutaneous tissue disorders
38628009,Homosexuality,Sexuality issues,Social circumstances
230155003,Meningitis noninfective,Meningitis NEC,Nervous system disorders
252025007,Urethral intrinsic sphincter deficiency,Urethral disorders NEC,Renal and urinary disorders
26850007,Postpartum venous thrombosis,Non-site specific embolism and thrombosis,Vascular disorders
26850007,Venous thrombosis in pregnancy,Non-site specific embolism and thrombosis,Vascular disorders
44779003,Amino acid metabolism disorder,Amino acid metabolism disorders NEC,Metabolism and nutrition disorders
84002002,Paedophilia,Paraphilias and paraphilic disorders,Psychiatric disorders
12193006,Eyeball avulsion,Eye injuries NEC,"Injury, poisoning and procedural complications"
64969001,Hypodontia,Dental disorders congenital,"Congenital, familial and genetic disorders"
102849002,Lipiduria,Urinary abnormalities,Renal and urinary disorders
37976006,Gallstone ileus,Gastrointestinal stenosis and obstruction NEC,Gastrointestinal disorders
238695001,Aquagenic pruritus,Pruritus NEC,Skin and subcutaneous tissue disorders
49915006,Tricuspid valve stenosis,Tricuspid valvular disorders,Cardiac disorders
72860003,Amniotic cavity disorder,Amniotic fluid and cavity disorders of pregnancy NEC,"Pregnancy, puerperium and perinatal conditions"
126705004,Bronchial neoplasm,Respiratory tract and pleural neoplasms malignancy unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
165145005,Bronchoscopy abnormal,Respiratory tract and thoracic imaging procedures,Investigations
66381006,Adjustment disorder with mixed disturbance of emotion and conduct,Adjustment disorders,Psychiatric disorders
236775006,Acquired hydrocele,Scrotal disorders NEC,Reproductive system and breast disorders
240139008,Chondrolysis,Cartilage disorders,Musculoskeletal and connective tissue disorders
29633007,Glycogen storage disorder,Inborn errors of carbohydrate metabolism (excl glucose),"Congenital, familial and genetic disorders"
95350002,Sclerema,Lipodystrophies,Skin and subcutaneous tissue disorders
302946006,Arteriovenous fistula aneurysm,Cardiac and vascular procedural complications,"Injury, poisoning and procedural complications"
286680009,Phobic avoidance,Fear symptoms and phobic disorders (incl social phobia),Psychiatric disorders
302823005,Glucagonoma,Islet cell neoplasms and APUDoma NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
237885008,Familial hypocalciuric hypercalcaemia,Endocrine disorders congenital NEC,"Congenital, familial and genetic disorders"
297135003,Subclavian artery embolism,Peripheral embolism and thrombosis,Vascular disorders
8041002,Urethral ulcer,Urethral disorders NEC,Renal and urinary disorders
15258001,Subclavian steal syndrome,Site specific necrosis and vascular insufficiency NEC,Vascular disorders
191733007,Fear of pregnancy,Fear symptoms and phobic disorders (incl social phobia),Psychiatric disorders
2435008,Ascariasis,Nematode infections,Infections and infestations
184004,Withdrawal arrhythmia,Rate and rhythm disorders NEC,Cardiac disorders
204451006,Congenital great vessel anomaly,Great vessel disorders congenital,"Congenital, familial and genetic disorders"
399040002,Congenital central hypoventilation syndrome,Central nervous system disorders congenital NEC,"Congenital, familial and genetic disorders"
16041008,Hypogonadism female,Female gonadal function disorders,Endocrine disorders
56391002,Necrobiosis lipoidica diabeticorum,Granulomatous and deep cutaneous inflammatory conditions,Skin and subcutaneous tissue disorders
44062003,Premature menarche,Endocrine abnormalities of puberty,Endocrine disorders
127026004,Pineal neoplasm,Pineal neoplasms,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
414952002,Oral hairy leukoplakia,Epstein-Barr viral infections,Infections and infestations
67873006,Hypoprolactinaemia,Anterior pituitary hypofunction,Endocrine disorders
124043008,Lipids decreased,Lipoprotein and lipid tests NEC,Investigations
71028008,Foetal-maternal haemorrhage,Foetal complications NEC,"Pregnancy, puerperium and perinatal conditions"
42228007,Acne conglobata,Acnes,Skin and subcutaneous tissue disorders
60637003,Congenital anomaly of adrenal gland,Adrenal disorders congenital,"Congenital, familial and genetic disorders"
39526006,Prepuce redundant,Penile disorders NEC (excl erection and ejaculation),Reproductive system and breast disorders
41116009,Spirochaetal infection,Treponema infections,Infections and infestations
59462000,Electrocardiogram low voltage,ECG investigations,Investigations
93885006,Genital cancer male,Reproductive neoplasms male malignant NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
37494006,Peak expiratory flow rate increased,Respiratory and pulmonary function diagnostic procedures,Investigations
409711008,Viral labyrinthitis,Viral infections NEC,Infections and infestations
16957005,Gallbladder fistula,Gallbladder disorders NEC,Hepatobiliary disorders
59394009,Sadism,Paraphilias and paraphilic disorders,Psychiatric disorders
231857004,Giant papillary conjunctivitis,"Conjunctival infections, irritations and inflammations",Eye disorders
165685003,Reticulocyte count abnormal,Red blood cell analyses,Investigations
95654002,Chronic paroxysmal hemicrania,Headaches NEC,Nervous system disorders
239097004,Gangrene neonatal,Bacterial infections NEC,Infections and infestations
399889006,Congenital lymphoedema,Lymphatic system disorders congenital,"Congenital, familial and genetic disorders"
427907007,Vocal cord atrophy,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
254590000,Pseudopolyposis,Colitis (excl infective),Gastrointestinal disorders
52099006,Blood pressure systolic inspiratory decreased,Vascular tests NEC (incl blood pressure),Investigations
78011002,Flail chest,Thoracic cage fractures and dislocations,"Injury, poisoning and procedural complications"
204967008,Congenital urinary tract obstruction,Renal and urinary tract disorders congenital NEC,"Congenital, familial and genetic disorders"
196859000,"Umbilical hernia, obstructive",Umbilical hernias,Gastrointestinal disorders
76642003,Factor X deficiency,Coagulation disorders congenital,"Congenital, familial and genetic disorders"
53338001,Arthritis allergic,Arthropathies NEC,Musculoskeletal and connective tissue disorders
49496001,Double ureter,Ureteric disorders congenital,"Congenital, familial and genetic disorders"
372063002,Malignant nervous system neoplasm,Nervous system neoplasms malignant NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
126883004,Urethral neoplasm,Urinary tract neoplasms unspecified malignancy NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
78200003,Hyperparathyroidism tertiary,Hyperparathyroid disorders,Endocrine disorders
167714004,CSF pressure decreased,Cerebrospinal fluid tests (excl microbiology),Investigations
80606009,Carotid arterial embolus,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
64043005,Myocarditis septic,Cardiac infections,Infections and infestations
64043005,Myocarditis bacterial,Bacterial infections NEC,Infections and infestations
95458005,Cerebellar artery occlusion,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
7690000,Grey syndrome neonatal,Heart failures NEC,Cardiac disorders
196807006,"Inguinal hernia, obstructive",Inguinal hernias,Gastrointestinal disorders
91576008,Congenital herpes simplex infection,Viral infections congenital,"Congenital, familial and genetic disorders"
55850004,Endosalpingiosis,Ovarian and fallopian tube disorders NEC,Reproductive system and breast disorders
66081003,Conjunctival pigmentation,"Conjunctival structural change, deposit and degeneration",Eye disorders
83920001,Selenium deficiency,Trace metal disorders NEC,Metabolism and nutrition disorders
77949003,VIIIth nerve lesion,Auditory nerve disorders,Nervous system disorders
90998002,Xanthochromia,Cerebrospinal fluid tests (excl microbiology),Investigations
54873004,"Anomaly of orbit, congenital",Ocular disorders congenital NEC,"Congenital, familial and genetic disorders"
52859009,Rathke's cleft cyst,Central nervous system disorders congenital NEC,"Congenital, familial and genetic disorders"
85904008,Paratyphoid fever,Salmonella infections,Infections and infestations
5187006,Eagle Barrett syndrome,Gastrointestinal tract disorders congenital NEC,"Congenital, familial and genetic disorders"
34417008,Disseminated intravascular coagulation in newborn,Coagulopathies,Blood and lymphatic system disorders
188507008,Non-Hodgkin's lymphoma stage III,Non-Hodgkin's lymphomas NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
95355007,Mucosal membrane hyperplasia,Mucosal findings abnormal,General disorders and administration site conditions
79342006,Ectropion of cervix,Cervix disorders NEC,Reproductive system and breast disorders
417607009,St. Louis encephalitis,Flaviviral infections,Infections and infestations
9918001,Nephroptosis,Renal structural abnormalities and trauma,Renal and urinary disorders
85514005,Portal vein phlebitis,Hepatic vascular disorders,Hepatobiliary disorders
80711002,Narcissistic personality disorder,Personality disorders with dramatic behaviour (Cluster B),Psychiatric disorders
123596001,Endocardial disease,Endocardial disorders NEC,Cardiac disorders
94663008,Metastases to urinary tract,Metastases to specified sites,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
373607009,Oxalosis,Metabolic disorders NEC,Metabolism and nutrition disorders
126879004,Genitourinary tract neoplasm,Genitourinary neoplasms malignancy and gender unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
80962007,Glossopharyngeal nerve disorder,Glossopharyngeal nerve disorders,Nervous system disorders
126703006,Tracheal neoplasm,Respiratory tract and pleural neoplasms malignancy unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
7611002,Septo-optic dysplasia,Optic nerve and optic disc disorders congenital,"Congenital, familial and genetic disorders"
57160007,Felty's syndrome,Rheumatoid arthropathies,Musculoskeletal and connective tissue disorders
54620002,Peritoneal cyst,Peritoneal and retroperitoneal disorders,Gastrointestinal disorders
33129002,Postmastectomy lymphoedema syndrome,Reproductive tract and breast procedural complications,"Injury, poisoning and procedural complications"
28790007,Precerebral artery occlusion,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
127003006,Neoplasm of orbit,Ocular neoplasms malignancy unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
35745008,Umbilical discharge,Skin and subcutaneous conditions NEC,Skin and subcutaneous tissue disorders
266434009,Dyskinesia oesophageal,Gastrointestinal dyskinetic disorders,Gastrointestinal disorders
365416000,Electrocardiogram ST segment,ECG investigations,Investigations
48971001,Tinea manuum,Tinea infections,Infections and infestations
95608006,Placental necrosis,Placental abnormalities (excl neoplasms),"Pregnancy, puerperium and perinatal conditions"
